_id,FSA,BEV,PHEV,TotalEV
454,N5A,175,97,272
455,N5C,78,29,107
456,N5H,38,16,54
457,N5K,1,,1
458,N5L,23,7,30
459,N5N,2,,2
460,N5P,73,50,123
461,N5R,104,59,163
462,N5V,67,51,118
463,N5W,68,30,98
464,N5X,222,112,334
465,N5Y,63,37,100
466,N5Z,39,38,77
467,N6A,77,53,130
468,N6B,36,23,59
469,N6C,117,77,194
470,N6E,42,50,92
471,N6G,324,168,492
472,N6H,181,110,291
473,N6J,75,46,121
474,N6K,237,143,380
475,N6L,49,20,69
476,N6M,42,15,57
477,N6N,13,2,15
478,N6P,98,62,160
479,N6R,1,,1
480,N6X,1,,1
481,N7A,60,38,98
482,N7G,70,35,105
483,N7L,57,36,93
484,N7M,92,34,126
485,N7S,81,47,128
486,N7T,64,29,93
487,N7V,27,18,45
488,N7W,15,11,26
489,N7X,12,6,18
490,N8A,20,16,36
491,N8H,57,51,108
492,N8M,42,36,78
493,N8N,132,86,218
494,N8P,64,44,108
495,N8R,28,32,60
496,N8S,40,36,76
497,N8T,27,20,47
498,N8W,54,53,107
499,N8X,60,27,87
500,N8Y,42,26,68
501,N9A,52,75,127
502,N9B,43,22,65
503,N9C,11,11,22
504,N9E,76,41,117
505,N9G,88,59,147
506,N9H,106,62,168
507,N9J,128,63,191
508,N9K,22,6,28
509,N9T,1,,1
510,N9V,86,66,152
511,N9Y,86,38,124
512,P0A,62,25,87
513,P0B,66,24,90
514,P0C,29,9,38
515,P0E,16,11,27
516,P0G,9,10,19
517,P0H,65,64,129
518,P0J,39,24,63
519,P0K,9,7,16
520,P0L,19,26,45
521,P0M,94,89,183
522,P0N,4,5,9
523,P0P,24,39,63
524,P0R,14,16,30
525,P0S,13,9,22
526,P0T,38,38,76
527,P0V,8,8,16
528,P0W,4,1,5
529,P0X,11,12,23
530,P1A,24,24,48
531,P1B,75,67,142
532,P1C,21,9,30
533,P1H,90,43,133
534,P1L,105,50,155
535,P1P,41,23,64
536,P2A,58,19,77
537,P2B,16,15,31
538,P2N,5,3,8
539,P3A,60,55,115
540,P3B,39,34,73
541,P3C,18,24,42
542,P3E,159,96,255
543,P3G,42,26,68
544,P3L,13,19,32
545,P3N,17,23,40
546,P3P,101,137,238
547,P3S,1,,1
548,P3Y,21,20,41
549,P4N,23,21,44
550,P4P,2,8,10
551,P4R,9,9,18
552,P5A,2,5,7
553,P5E,5,5,10
554,P5N,11,13,24
555,P6A,56,51,107
556,P6B,73,30,103
557,P6C,12,13,25
558,P7A,54,56,110
559,P7B,46,55,101
560,P7C,28,33,61
561,P7E,22,27,49
562,P7G,38,35,73
563,P7J,10,18,28
564,P7K,13,14,27
565,P7L,4,3,7
566,P8A,1,,1
567,P8N,11,12,23
568,P8T,6,4,10
569,P9A,7,10,17
570,P9N,19,19,38
